date,control_point,arrive_resident,arrive_mainland,arrive_others,arrive_total,departure_resident,departure_mainland,departure_others,departure_total
2020-03-25,Hung Hom,0,0,0,0,0,0,0,0
2020-03-25,Lo Wu,0,0,0,0,0,0,0,0
2020-03-25,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-25,Hong Kong-Zhuhai-Macao Bridge,106,7,19,132,212,25,173,410
2020-03-25,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-25,Man Kam To,0,0,0,0,0,0,0,0
2020-03-25,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-25,Shenzhen Bay,810,135,3,948,1525,326,21,1872
2020-03-25,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-25,Harbour Control,0,0,0,0,0,0,0,0
2020-03-25,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-25,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-25,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-26,Airport,3303,6,126,3435,436,20,138,594
2020-03-26,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-26,Hung Hom,0,0,0,0,0,0,0,0
2020-03-26,Lo Wu,0,0,0,0,0,0,0,0
2020-03-26,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-26,Hong Kong-Zhuhai-Macao Bridge,95,8,23,126,342,42,113,497
2020-03-26,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-26,Man Kam To,0,0,0,0,0,0,0,0
2020-03-26,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-26,Shenzhen Bay,773,122,2,897,2476,522,16,3014
2020-03-26,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-26,Harbour Control,0,0,0,0,0,0,0,0
2020-03-26,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-26,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-26,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-27,Airport,2903,4,178,3085,1030,46,238,1314
2020-03-27,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-27,Hung Hom,0,0,0,0,0,0,0,0
2020-03-27,Lo Wu,0,0,0,0,0,0,0,0
2020-03-27,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-27,Hong Kong-Zhuhai-Macao Bridge,124,9,17,150,697,120,170,987
2020-03-27,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-27,Man Kam To,0,0,0,0,0,0,0,0
2020-03-27,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-27,Shenzhen Bay,676,121,1,798,298,83,113,494
2020-03-27,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-27,Harbour Control,0,0,0,0,0,0,0,0
2020-03-27,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-27,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-27,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-28,Airport,3744,7,175,3926,691,51,162,904
2020-03-28,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-28,Hung Hom,0,0,0,0,0,0,0,0
2020-03-28,Lo Wu,0,0,0,0,0,0,0,0
2020-03-28,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-28,Hong Kong-Zhuhai-Macao Bridge,67,7,16,90,45,3,146,194
2020-03-28,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-28,Man Kam To,0,0,0,0,0,0,0,0
2020-03-28,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-28,Shenzhen Bay,545,96,5,646,238,102,3,343
2020-03-28,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-28,Harbour Control,0,0,0,0,0,0,0,0
2020-03-28,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-28,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-28,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-29,Airport,2616,6,215,2837,301,25,77,403
2020-03-29,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-29,Hung Hom,0,0,0,0,0,0,0,0
2020-03-29,Lo Wu,0,0,0,0,0,0,0,0
2020-03-29,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-29,Hong Kong-Zhuhai-Macao Bridge,60,7,16,83,36,5,181,222
2020-03-29,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-29,Man Kam To,0,0,0,0,0,0,0,0
2020-03-29,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-29,Shenzhen Bay,554,110,0,664,221,67,2,290
2020-03-29,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-29,Harbour Control,0,0,0,0,0,0,0,0
2020-03-29,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-29,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-29,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-30,Airport,1924,7,138,2069,346,10,92,448
2020-03-30,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-30,Hung Hom,0,0,0,0,0,0,0,0
2020-03-30,Lo Wu,0,0,0,0,0,0,0,0
2020-03-30,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-30,Hong Kong-Zhuhai-Macao Bridge,60,4,16,80,50,4,145,199
2020-03-30,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-30,Man Kam To,0,0,0,0,0,0,0,0
2020-03-30,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-30,Shenzhen Bay,704,79,1,784,284,82,4,370
2020-03-30,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-30,Harbour Control,0,0,0,0,0,0,0,0
2020-03-30,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-30,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-30,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-31,Airport,1406,9,119,1534,569,20,142,731
2020-03-31,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-03-31,Hung Hom,0,0,0,0,0,0,0,0
2020-03-31,Lo Wu,0,0,0,0,0,0,0,0
2020-03-31,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-03-31,Hong Kong-Zhuhai-Macao Bridge,76,5,17,98,56,6,122,184
2020-03-31,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-03-31,Man Kam To,0,0,0,0,0,0,0,0
2020-03-31,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-03-31,Shenzhen Bay,763,97,3,863,366,67,3,436
2020-03-31,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-31,Harbour Control,0,0,0,0,0,0,0,0
2020-03-31,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-03-31,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-03-31,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-01,Airport,1144,5,34,1183,526,36,86,648
2020-04-01,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-01,Hung Hom,0,0,0,0,0,0,0,0
2020-04-01,Lo Wu,0,0,0,0,0,0,0,0
2020-04-01,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-01,Hong Kong-Zhuhai-Macao Bridge,68,7,4,79,42,4,16,62
2020-04-01,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-01,Man Kam To,0,0,0,0,0,0,0,0
2020-04-01,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-01,Shenzhen Bay,798,84,2,884,385,123,0,508
2020-04-01,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-01,Harbour Control,0,0,0,0,0,0,0,0
2020-04-01,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-01,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-01,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-02,Airport,662,4,9,675,269,21,59,349
2020-04-02,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-02,Hung Hom,0,0,0,0,0,0,0,0
2020-04-02,Lo Wu,0,0,0,0,0,0,0,0
2020-04-02,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-02,Hong Kong-Zhuhai-Macao Bridge,67,3,0,70,70,0,6,76
2020-04-02,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-02,Man Kam To,0,0,0,0,0,0,0,0
2020-04-02,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-02,Shenzhen Bay,631,69,0,700,371,87,7,465
2020-04-02,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-02,Harbour Control,0,0,0,0,0,0,0,0
2020-04-02,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-02,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-02,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-03,Airport,979,6,24,1009,610,38,87,735
2020-04-03,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-03,Hung Hom,0,0,0,0,0,0,0,0
2020-04-03,Lo Wu,0,0,0,0,0,0,0,0
2020-04-03,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-03,Hong Kong-Zhuhai-Macao Bridge,59,6,4,69,59,7,6,72
2020-04-03,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-03,Man Kam To,0,0,0,0,0,0,0,0
2020-04-03,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-03,Shenzhen Bay,489,85,0,574,353,96,7,456
2020-04-03,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-03,Harbour Control,0,0,0,0,0,0,0,0
2020-04-03,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-03,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-03,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-04,Airport,812,3,15,830,403,20,51,474
2020-04-04,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-04,Hung Hom,0,0,0,0,0,0,0,0
2020-04-04,Lo Wu,0,0,0,0,0,0,0,0
2020-04-04,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-04,Hong Kong-Zhuhai-Macao Bridge,50,2,3,55,58,6,3,67
2020-04-04,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-04,Man Kam To,0,0,0,0,0,0,0,0
2020-04-04,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-04,Shenzhen Bay,344,73,0,417,296,86,5,387
2020-04-04,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-04,Harbour Control,0,0,0,0,0,0,0,0
2020-04-04,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-04,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-04,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-05,Airport,806,0,7,813,284,10,71,365
2020-04-05,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-05,Hung Hom,0,0,0,0,0,0,0,0
2020-04-05,Lo Wu,0,0,0,0,0,0,0,0
2020-04-05,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-05,Hong Kong-Zhuhai-Macao Bridge,226,12,18,256,142,5,18,165
2020-04-05,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-05,Man Kam To,0,0,0,0,0,0,0,0
2020-04-05,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-05,Shenzhen Bay,479,100,1,580,267,80,1,348
2020-04-05,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-05,Harbour Control,0,0,0,0,0,0,0,0
2020-04-05,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-05,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-05,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-06,Airport,833,2,13,848,185,13,43,241
2020-04-06,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-06,Hung Hom,0,0,0,0,0,0,0,0
2020-04-06,Lo Wu,0,0,0,0,0,0,0,0
2020-04-06,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-06,Hong Kong-Zhuhai-Macao Bridge,20,7,1,28,27,2,0,29
2020-04-06,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-06,Man Kam To,0,0,0,0,0,0,0,0
2020-04-06,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-06,Shenzhen Bay,498,89,2,589,446,72,6,524
2020-04-06,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-06,Harbour Control,0,0,0,0,0,0,0,0
2020-04-06,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-06,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-06,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-07,Airport,347,4,16,367,217,14,43,274
2020-04-07,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-07,Hung Hom,0,0,0,0,0,0,0,0
2020-04-07,Lo Wu,0,0,0,0,0,0,0,0
2020-04-07,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-07,Hong Kong-Zhuhai-Macao Bridge,34,8,0,42,30,5,0,35
2020-04-07,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-07,Man Kam To,0,0,0,0,0,0,0,0
2020-04-07,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-07,Shenzhen Bay,511,72,0,583,355,107,7,469
2020-04-07,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-07,Harbour Control,0,0,0,0,0,0,0,0
2020-04-07,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-07,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-07,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-08,Airport,835,6,24,865,361,14,59,434
2020-04-08,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-08,Hung Hom,0,0,0,0,0,0,0,0
2020-04-08,Lo Wu,0,0,0,0,0,0,0,0
2020-04-08,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-08,Hong Kong-Zhuhai-Macao Bridge,24,3,0,27,24,2,1,27
2020-04-08,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-08,Man Kam To,0,0,0,0,0,0,0,0
2020-04-08,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-08,Shenzhen Bay,587,96,1,684,314,77,3,394
2020-04-08,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-08,Harbour Control,0,0,0,0,0,0,0,0
2020-04-08,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-08,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-08,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-09,Airport,439,0,17,456,189,3,39,231
2020-04-09,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-09,Hung Hom,0,0,0,0,0,0,0,0
2020-04-09,Lo Wu,0,0,0,0,0,0,0,0
2020-04-09,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-09,Hong Kong-Zhuhai-Macao Bridge,33,8,0,41,16,7,2,25
2020-04-09,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-09,Man Kam To,0,0,0,0,0,0,0,0
2020-04-09,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-09,Shenzhen Bay,584,85,1,670,349,122,3,474
2020-04-09,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-09,Harbour Control,0,0,0,0,0,0,0,0
2020-04-09,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-09,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-09,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-10,Airport,811,9,39,859,503,20,74,597
2020-04-10,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-10,Hung Hom,0,0,0,0,0,0,0,0
2020-04-10,Lo Wu,0,0,0,0,0,0,0,0
2020-04-10,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-10,Hong Kong-Zhuhai-Macao Bridge,36,6,0,42,16,3,3,22
2020-04-10,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-10,Man Kam To,0,0,0,0,0,0,0,0
2020-04-10,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-10,Shenzhen Bay,613,131,1,745,397,129,1,527
2020-04-10,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-10,Harbour Control,0,0,0,0,0,0,0,0
2020-04-10,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-10,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-10,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-11,Airport,220,0,8,228,195,4,33,232
2020-04-11,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-11,Hung Hom,0,0,0,0,0,0,0,0
2020-04-11,Lo Wu,0,0,0,0,0,0,0,0
2020-04-11,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-11,Hong Kong-Zhuhai-Macao Bridge,22,9,4,35,23,2,2,27
2020-04-11,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-11,Man Kam To,0,0,0,0,0,0,0,0
2020-04-11,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-11,Shenzhen Bay,590,102,5,697,306,58,2,366
2020-04-11,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-11,Harbour Control,0,0,0,0,0,0,0,0
2020-04-11,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-11,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-11,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-12,Airport,544,4,24,572,352,30,54,436
2020-04-12,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-12,Hung Hom,0,0,0,0,0,0,0,0
2020-04-12,Lo Wu,0,0,0,0,0,0,0,0
2020-04-12,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-12,Hong Kong-Zhuhai-Macao Bridge,49,4,1,54,10,0,0,10
2020-04-12,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-12,Man Kam To,0,0,0,0,0,0,0,0
2020-04-12,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-12,Shenzhen Bay,455,99,1,555,258,57,1,316
2020-04-12,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-12,Harbour Control,0,0,0,0,0,0,0,0
2020-04-12,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-12,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-12,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-13,Airport,395,1,18,414,71,6,28,105
2020-04-13,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-13,Hung Hom,0,0,0,0,0,0,0,0
2020-04-13,Lo Wu,0,0,0,0,0,0,0,0
2020-04-13,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-13,Hong Kong-Zhuhai-Macao Bridge,51,3,0,54,17,1,1,19
2020-04-13,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-13,Man Kam To,0,0,0,0,0,0,0,0
2020-04-13,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-13,Shenzhen Bay,511,98,5,614,273,72,4,349
2020-04-13,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-13,Harbour Control,0,0,0,0,0,0,0,0
2020-04-13,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-13,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-13,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-14,Airport,430,7,10,447,150,10,50,210
2020-04-14,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-14,Hung Hom,0,0,0,0,0,0,0,0
2020-04-14,Lo Wu,0,0,0,0,0,0,0,0
2020-04-14,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-14,Hong Kong-Zhuhai-Macao Bridge,36,4,1,41,21,5,3,29
2020-04-14,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-14,Man Kam To,0,0,0,0,0,0,0,0
2020-04-14,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-14,Shenzhen Bay,588,70,0,658,275,64,1,340
2020-04-14,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-14,Harbour Control,0,0,0,0,0,0,0,0
2020-04-14,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-14,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-14,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-15,Airport,481,2,16,499,331,12,60,403
2020-04-15,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-15,Hung Hom,0,0,0,0,0,0,0,0
2020-04-15,Lo Wu,0,0,0,0,0,0,0,0
2020-04-15,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-15,Hong Kong-Zhuhai-Macao Bridge,33,4,1,38,17,3,0,20
2020-04-15,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-15,Man Kam To,0,0,0,0,0,0,0,0
2020-04-15,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-15,Shenzhen Bay,613,93,1,707,240,69,2,311
2020-04-15,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-15,Harbour Control,0,0,0,0,0,0,0,0
2020-04-15,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-15,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-15,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-16,Airport,397,1,19,417,147,15,24,186
2020-04-16,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-16,Hung Hom,0,0,0,0,0,0,0,0
2020-04-16,Lo Wu,0,0,0,0,0,0,0,0
2020-04-16,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-16,Hong Kong-Zhuhai-Macao Bridge,26,2,0,28,11,0,1,12
2020-04-16,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-16,Man Kam To,0,0,0,0,0,0,0,0
2020-04-16,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-16,Shenzhen Bay,527,81,3,611,223,56,0,279
2020-04-16,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-16,Harbour Control,0,0,0,0,0,0,0,0
2020-04-16,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-16,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-16,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-17,Airport,820,6,20,846,507,15,80,602
2020-04-17,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-17,Hung Hom,0,0,0,0,0,0,0,0
2020-04-17,Lo Wu,0,0,0,0,0,0,0,0
2020-04-17,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-17,Hong Kong-Zhuhai-Macao Bridge,24,4,2,30,27,2,2,31
2020-04-17,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-17,Man Kam To,0,0,0,0,0,0,0,0
2020-04-17,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-17,Shenzhen Bay,519,77,4,600,180,54,4,238
2020-04-17,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-17,Harbour Control,0,0,0,0,0,0,0,0
2020-04-17,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-17,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-17,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-18,Airport,373,9,14,396,336,19,67,422
2020-04-18,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-18,Hung Hom,0,0,0,0,0,0,0,0
2020-04-18,Lo Wu,0,0,0,0,0,0,0,0
2020-04-18,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-18,Hong Kong-Zhuhai-Macao Bridge,33,8,1,42,11,4,6,21
2020-04-18,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-18,Man Kam To,0,0,0,0,0,0,0,0
2020-04-18,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-18,Shenzhen Bay,456,86,0,542,194,65,4,263
2020-04-18,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-18,Harbour Control,0,0,0,0,0,0,0,0
2020-04-18,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-18,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-18,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-19,Airport,452,2,13,467,273,2,44,319
2020-04-19,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-19,Hung Hom,0,0,0,0,0,0,0,0
2020-04-19,Lo Wu,0,0,0,0,0,0,0,0
2020-04-19,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-19,Hong Kong-Zhuhai-Macao Bridge,21,1,0,22,7,0,0,7
2020-04-19,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-19,Man Kam To,0,0,0,0,0,0,0,0
2020-04-19,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-19,Shenzhen Bay,543,96,3,642,168,53,0,221
2020-04-19,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-19,Harbour Control,0,0,0,0,0,0,0,0
2020-04-19,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-19,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-19,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-20,Airport,460,6,20,486,190,26,25,241
2020-04-20,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-20,Hung Hom,0,0,0,0,0,0,0,0
2020-04-20,Lo Wu,0,0,0,0,0,0,0,0
2020-04-20,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-04-20,Hong Kong-Zhuhai-Macao Bridge,40,0,1,41,12,1,0,13
2020-04-20,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-04-20,Man Kam To,0,0,0,0,0,0,0,0
2020-04-20,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-04-20,Shenzhen Bay,663,80,2,745,306,73,7,386
2020-04-20,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-20,Harbour Control,0,0,0,0,0,0,0,0
2020-04-20,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-04-20,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-20,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-04-21,Airport,324,3,22,349,86,3,28,117
2020-04-21,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-04-21,Hung Hom,0,0,0,0,0,0,0,0
2020-04-21,Lo Wu,0,0,0,0,0,0,0,0
2020-04-21,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
